Sample,Time(S),CH1(V),CH2(V)
206,-0.001394,-0.0394692,-0.174575
207,-0.001393,-0.0394692,-0.160913
208,-0.001392,-0.0394692,-0.151804
209,-0.001391,-0.0394692,-0.142696
210,-0.00139,-0.0394692,-0.13207
211,-0.001389,-0.0394692,-0.122962
212,-0.001388,-0.0394692,-0.112335
213,-0.001387,-0.0394692,-0.103227
214,-0.001386,-0.0425052,-0.0941187
215,-0.001385,-0.0440233,-0.0834924
216,-0.001384,-0.0440233,-0.0759022
217,-0.001383,-0.0425052,-0.0622398
218,-0.001382,-0.0455413,-0.0531316
219,-0.001381,-0.0485774,-0.0425052
220,-0.00138,-0.0485774,-0.0318789
221,-0.001379,-0.0485774,-0.0212526
222,-0.001378,-0.0500955,-0.0121444
223,-0.001377,-0.0455413,-0.00303609
224,-0.001376,-0.0455413,0.00759022
225,-0.001375,-0.0500955,0.0166985
226,-0.001374,-0.0485774,0.0273248
227,-0.001373,-0.0546496,0.0364331
228,-0.001372,-0.0516135,0.0470594
229,-0.001371,-0.0546496,0.0561676
230,-0.00137,-0.0531316,0.06983
231,-0.001369,-0.0546496,0.0774203
232,-0.001368,-0.0561676,0.0880466
233,-0.001367,-0.0546496,0.0986729
234,-0.001366,-0.0576857,0.107781
235,-0.001365,-0.0546496,0.121444
236,-0.001364,-0.0561676,0.129034
237,-0.001363,-0.0561676,0.13966
238,-0.001362,-0.0576857,0.148768
239,-0.001361,-0.0576857,0.157877
240,-0.00136,-0.0576857,0.168503
241,-0.001359,-0.0607218,0.180647
242,-0.001358,-0.0592037,0.191274
243,-0.001357,-0.0607218,0.198864
244,-0.001356,-0.0607218,0.212526
245,-0.001355,-0.0622398,0.221634
246,-0.001354,-0.0622398,0.232261
247,-0.001353,-0.0637579,0.242887
248,-0.001352,-0.0637579,0.253513
249,-0.001351,-0.0637579,0.262622
250,-0.00135,-0.0637579,0.27173
251,-0.001349,-0.0637579,0.283874
252,-0.001348,-0.0637579,0.292983
253,-0.001347,-0.0637579,0.303609
254,-0.001346,-0.0622398,0.312717
255,-0.001345,-0.0667939,0.323343
256,-0.001344,-0.0667939,0.332452
257,-0.001343,-0.0667939,0.34156
258,-0.001342,-0.0667939,0.353704
259,-0.001341,-0.0652759,0.362813
260,-0.00134,-0.06983,0.373439
261,-0.001339,-0.06983,0.382547
262,-0.001338,-0.06983,0.39621
263,-0.001337,-0.06983,0.4038
264,-0.001336,-0.06983,0.414426
265,-0.001335,-0.06983,0.425052
266,-0.001334,-0.06983,0.432643
267,-0.001333,-0.06983,0.443269
268,-0.001332,-0.06983,0.452377
269,-0.001331,-0.06983,0.463004
270,-0.00133,-0.06983,0.472112
271,-0.001329,-0.0743842,0.484256
272,-0.001328,-0.0743842,0.493364
273,-0.001327,-0.0743842,0.502473
274,-0.001326,-0.0743842,0.514617
275,-0.001325,-0.0728661,0.523725
276,-0.001324,-0.0774203,0.534352
277,-0.001323,-0.0774203,0.54346
278,-0.001322,-0.0789383,0.554086
279,-0.001321,-0.0759022,0.563194
280,-0.00132,-0.0774203,0.575339
281,-0.001319,-0.0774203,0.584447
282,-0.001318,-0.0774203,0.593555
283,-0.001317,-0.0774203,0.604182
284,-0.001316,-0.0759022,0.61329
285,-0.001315,-0.0774203,0.622398
286,-0.001314,-0.0804563,0.631506
287,-0.001313,-0.0759022,0.640615
288,-0.001312,-0.0804563,0.651241
289,-0.001311,-0.0804563,0.660349
290,-0.00131,-0.0804563,0.670976
291,-0.001309,-0.0804563,0.677048
292,-0.001308,-0.0804563,0.69071
293,-0.001307,-0.0804563,0.6983
294,-0.001306,-0.0850105,0.707409
295,-0.001305,-0.0819744,0.718035
296,-0.001304,-0.0850105,0.727143
297,-0.001303,-0.0819744,0.73777
298,-0.001302,-0.0834924,0.748396
299,-0.001301,-0.0819744,0.754468
300,-0.0013,-0.0850105,0.765094
301,-0.001299,-0.0834924,0.774203
302,-0.001298,-0.0834924,0.786347
303,-0.001297,-0.0834924,0.792419
304,-0.001296,-0.0834924,0.803045
305,-0.001295,-0.0834924,0.810636
306,-0.001294,-0.0819744,0.818226
307,-0.001293,-0.0865285,0.83037
308,-0.001292,-0.0865285,0.836442
309,-0.001291,-0.0880466,0.847069
310,-0.00129,-0.0880466,0.856177
311,-0.001289,-0.0880466,0.865285
312,-0.001288,-0.0880466,0.875912
313,-0.001287,-0.0880466,0.881984
314,-0.001286,-0.0865285,0.89261
315,-0.001285,-0.0910827,0.901718
316,-0.001284,-0.0910827,0.910827
317,-0.001283,-0.0910827,0.919935
318,-0.001282,-0.0895646,0.929043
319,-0.001281,-0.0895646,0.936633
320,-0.00128,-0.0910827,0.94726
321,-0.001279,-0.0910827,0.956368
322,-0.001278,-0.0910827,0.963958
323,-0.001277,-0.0880466,0.974584
324,-0.001276,-0.0910827,0.982175
325,-0.001275,-0.0910827,0.989765
326,-0.001274,-0.0910827,0.998873
327,-0.001273,-0.0895646,1.00798
328,-0.001272,-0.0895646,1.01709
329,-0.001271,-0.0895646,1.02468
330,-0.00127,-0.0895646,1.03075
331,-0.001269,-0.0895646,1.03986
332,-0.001268,-0.0926007,1.04745
333,-0.001267,-0.0926007,1.05808
334,-0.001266,-0.0926007,1.06567
335,-0.001265,-0.0926007,1.07478
336,-0.001264,-0.0926007,1.08085
337,-0.001263,-0.0926007,1.08996
338,-0.001262,-0.0926007,1.09755
339,-0.001261,-0.0926007,1.10514
340,-0.00126,-0.0926007,1.11121
341,-0.001259,-0.0926007,1.12032
342,-0.001258,-0.0971548,1.12942
343,-0.001257,-0.0971548,1.13702
344,-0.001256,-0.0971548,1.14461
345,-0.001255,-0.0971548,1.15371
346,-0.001254,-0.0971548,1.15979
347,-0.001253,-0.0971548,1.16889
348,-0.001252,-0.0971548,1.178
349,-0.001251,-0.0956368,1.18559
350,-0.00125,-0.100191,1.19166
351,-0.001249,-0.0956368,1.20077
352,-0.001248,-0.0971548,1.20685
353,-0.001247,-0.0971548,1.21595
354,-0.001246,-0.0956368,1.22203
355,-0.001245,-0.0986729,1.23113
356,-0.001244,-0.0971548,1.23569
357,-0.001243,-0.0971548,1.24631
358,-0.001242,-0.0971548,1.25087
359,-0.001241,-0.0971548,1.25694
360,-0.00124,-0.0971548,1.26605
361,-0.001239,-0.0971548,1.27212
362,-0.001238,-0.0956368,1.27819
363,-0.001237,-0.0986729,1.28427
364,-0.001236,-0.0971548,1.29186
365,-0.001235,-0.0971548,1.29793
366,-0.001234,-0.0956368,1.304
367,-0.001233,-0.0971548,1.31159
368,-0.001232,-0.100191,1.31766
369,-0.001231,-0.0956368,1.32373
370,-0.00123,-0.0971548,1.32981
371,-0.001229,-0.0971548,1.33892
372,-0.001228,-0.0971548,1.34195
373,-0.001227,-0.0971548,1.34954
374,-0.001226,-0.100191,1.35258
375,-0.001225,-0.100191,1.3632
376,-0.001224,-0.100191,1.36928
377,-0.001223,-0.100191,1.37535
378,-0.001222,-0.100191,1.38294
379,-0.001221,-0.100191,1.38901
380,-0.00122,-0.100191,1.39205
381,-0.001219,-0.100191,1.39964
382,-0.001218,-0.100191,1.40723
383,-0.001217,-0.100191,1.4133
384,-0.001216,-0.100191,1.41634
385,-0.001215,-0.0986729,1.42393
386,-0.001214,-0.103227,1.43
387,-0.001213,-0.0986729,1.43607
388,-0.001212,-0.100191,1.44214
389,-0.001211,-0.100191,1.44518
390,-0.00121,-0.100191,1.45277
