time	V_out	V_in
2.718703291817870e-02	-1.578458e+00	7.738217e-02
2.744512443603584e-02	-1.473856e+00	7.199419e-02
2.770321595389299e-02	-1.358068e+00	6.605536e-02
2.791945479317871e-02	-1.254024e+00	6.073865e-02
2.813569363246442e-02	-1.145505e+00	5.520843e-02
2.835193247175014e-02	-1.032514e+00	4.946471e-02
2.856817131103586e-02	-9.150485e-01	4.350748e-02
2.878441015032157e-02	-7.931097e-01	3.733675e-02
2.900064898960729e-02	-6.666975e-01	3.095251e-02
2.921688782889301e-02	-5.358117e-01	2.435476e-02
2.932151952532158e-02	-4.720504e-01	2.114528e-02
2.942615122175016e-02	-4.079531e-01	1.792170e-02
2.953078291817873e-02	-3.435197e-01	1.468403e-02
2.963541461460730e-02	-2.787503e-01	1.143227e-02
2.974004631103588e-02	-2.136448e-01	8.166410e-03
2.984467800746445e-02	-1.482032e-01	4.886459e-03
2.994930970389302e-02	-8.242559e-02	1.592415e-03
2.999813782889302e-02	-5.175839e-02	5.759997e-05
3.004696595389302e-02	-2.109700e-02	-1.476327e-03
3.009579407889302e-02	9.558597e-03	-3.009366e-03
3.014462220389302e-02	4.020839e-02	-4.541517e-03
3.019345032889302e-02	7.085239e-02	-6.072779e-03
3.024227845389302e-02	1.014906e-01	-7.603153e-03
3.029110657889303e-02	1.321230e-01	-9.132640e-03
3.044456640032160e-02	2.286504e-01	-1.394827e-02
3.059802622175017e-02	3.240999e-01	-1.870427e-02
3.075148604317874e-02	4.184715e-01	-2.340064e-02
3.090494586460731e-02	5.117651e-01	-2.803737e-02
3.105840568603589e-02	6.039808e-01	-3.261447e-02
3.121186550746446e-02	6.951187e-01	-3.713193e-02
3.136532532889303e-02	7.851785e-01	-4.158976e-02
3.163039229317873e-02	9.376611e-01	-4.912121e-02
3.189545925746443e-02	1.081338e+00	-5.619891e-02
3.216052622175013e-02	1.216209e+00	-6.282284e-02
3.242559318603583e-02	1.342275e+00	-6.899303e-02
3.269066015032153e-02	1.459535e+00	-7.470945e-02
3.295572711460722e-02	1.567990e+00	-7.997212e-02
3.322079407889292e-02	1.667639e+00	-8.478103e-02
3.343703291817863e-02	1.739235e+00	-8.821211e-02
3.365327175746433e-02	1.802201e+00	-9.120766e-02
3.386951059675003e-02	1.856535e+00	-9.376766e-02
3.408574943603573e-02	1.902239e+00	-9.589212e-02
3.430198827532144e-02	1.939313e+00	-9.758104e-02
3.451822711460713e-02	1.967755e+00	-9.883442e-02
3.473446595389284e-02	1.987567e+00	-9.965226e-02
3.490187666817855e-02	1.996199e+00	-9.994970e-02
3.506928738246425e-02	1.999335e+00	-9.997282e-02
3.523669809674995e-02	1.996974e+00	-9.972162e-02
3.540410881103566e-02	1.989116e+00	-9.919609e-02
3.557151952532137e-02	1.975762e+00	-9.839625e-02
3.573893023960707e-02	1.956912e+00	-9.732209e-02
3.590634095389277e-02	1.932565e+00	-9.597360e-02
3.616443247174990e-02	1.883414e+00	-9.331594e-02
3.642252398960703e-02	1.823097e+00	-9.010851e-02
3.668061550746415e-02	1.751614e+00	-8.635130e-02
3.693870702532129e-02	1.668966e+00	-8.204431e-02
3.719679854317842e-02	1.575151e+00	-7.718756e-02
3.745489006103554e-02	1.470170e+00	-7.178102e-02
3.771298157889267e-02	1.354024e+00	-6.582472e-02
3.792922041817837e-02	1.249705e+00	-6.049469e-02
3.814545925746407e-02	1.140937e+00	-5.495240e-02
3.836169809674977e-02	1.027720e+00	-4.919785e-02
3.857793693603548e-02	9.100537e-01	-4.323105e-02
3.879417577532118e-02	7.879389e-01	-3.705199e-02
3.901041461460688e-02	6.613752e-01	-3.066067e-02
3.922665345389258e-02	5.303625e-01	-2.405709e-02
3.933128515032115e-02	4.665506e-01	-2.084532e-02
3.943591684674971e-02	4.024092e-01	-1.761979e-02
3.954054854317828e-02	3.379382e-01	-1.438049e-02
3.964518023960684e-02	2.731377e-01	-1.112743e-02
3.974981193603541e-02	2.080077e-01	-7.860603e-03
3.985444363246397e-02	1.425482e-01	-4.580009e-03
3.995907532889254e-02	7.675921e-02	-1.285651e-03
4.001487890032111e-02	4.170018e-02	4.687784e-04
4.007068247174968e-02	6.655309e-03	2.221718e-03
4.012648604317825e-02	-2.837539e-02	3.973168e-03
4.018228961460681e-02	-6.339192e-02	5.723129e-03
4.023809318603538e-02	-9.839428e-02	7.471600e-03
4.029389675746395e-02	-1.333825e-01	9.218581e-03
4.034970032889252e-02	-1.683565e-01	1.096407e-02
4.051013559674965e-02	-2.691241e-01	1.598871e-02
4.067057086460679e-02	-3.685858e-01	2.094182e-02
4.083100613246392e-02	-4.667417e-01	2.582340e-02
4.099144140032106e-02	-5.635917e-01	3.063347e-02
4.115187666817819e-02	-6.591359e-01	3.537202e-02
4.131231193603532e-02	-7.533743e-01	4.003904e-02
4.147274720389246e-02	-8.463067e-01	4.463454e-02
4.174478961460672e-02	-1.000189e+00	5.222651e-02
4.201683202532100e-02	-1.144348e+00	5.931860e-02
4.228887443603527e-02	-1.278783e+00	6.591082e-02
4.256091684674954e-02	-1.403494e+00	7.200316e-02
4.283295925746380e-02	-1.518482e+00	7.759563e-02
4.310500166817808e-02	-1.623745e+00	8.268823e-02
4.337704407889235e-02	-1.719286e+00	8.728096e-02
4.358630747174948e-02	-1.783030e+00	9.032027e-02
4.379557086460661e-02	-1.838574e+00	9.294627e-02
4.400483425746374e-02	-1.885919e+00	9.515896e-02
4.421409765032087e-02	-1.925064e+00	9.695834e-02
4.442336104317800e-02	-1.956010e+00	9.834442e-02
4.463262443603513e-02	-1.978755e+00	9.931719e-02
4.484188782889226e-02	-1.993302e+00	9.987666e-02
4.500929854317797e-02	-1.998369e+00	9.999556e-02
4.517670925746367e-02	-1.997957e+00	9.984124e-02
4.534411997174938e-02	-1.992066e+00	9.941369e-02
4.551153068603508e-02	-1.980695e+00	9.871290e-02
4.567894140032079e-02	-1.963845e+00	9.773888e-02
4.584635211460649e-02	-1.941516e+00	9.649163e-02
4.601376282889220e-02	-1.913707e+00	9.497115e-02
4.627882979317790e-02	-1.857547e+00	9.195981e-02
4.654389675746359e-02	-1.789918e+00	8.838466e-02
4.680896372174929e-02	-1.710822e+00	8.424569e-02
4.707403068603500e-02	-1.620257e+00	7.954290e-02
4.733909765032070e-02	-1.518223e+00	7.427629e-02
4.760416461460639e-02	-1.404721e+00	6.844586e-02
4.786923157889209e-02	-1.279751e+00	6.205161e-02
4.805059318603494e-02	-1.189424e+00	5.744471e-02
4.823195479317779e-02	-1.096023e+00	5.269135e-02
4.841331640032064e-02	-9.995490e-01	4.779153e-02
4.859467800746348e-02	-9.000012e-01	4.274525e-02
4.877603961460632e-02	-7.973797e-01	3.755251e-02
4.895740122174917e-02	-6.916845e-01	3.221331e-02
4.913876282889202e-02	-5.829158e-01	2.672765e-02
4.925036997174916e-02	-5.153124e-01	2.332261e-02
4.936197711460629e-02	-4.472859e-01	1.989949e-02
4.947358425746343e-02	-3.788362e-01	1.645828e-02
4.958519140032057e-02	-3.099634e-01	1.299899e-02
4.969679854317770e-02	-2.406675e-01	9.521611e-03
4.980840568603484e-02	-1.709484e-01	6.026151e-03
4.992001282889198e-02	-1.008062e-01	2.512607e-03
5.000000000000000e-02	-5.060708e-02	6.123234e-17
